DATE,PAIR,TREATMENT,GROUP,OBSERVER 1,OBSERVER 2,SPECIES,FUNCTIONAL,SEX,COUNT
5/22/21,5,BURN,BW,Balmaceda,Walford,Brown-Headed Cowbird,Frugivore,U,5
5/22/21,6,BURN,WR,Wilkin,Ribas,Brown-Headed Cowbird,Frugivore,U ,6
5/23/21,4,CONTROL,WR,Wilkin,Ribas,Brown-Headed Cowbird,Frugivore,U ,8
5/23/21,5,BURN,CM,Cantarero,Marcelletti,Brown-Headed Cowbird,Frugivore,U,1
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Brown-Headed Cowbird,Frugivore,U,9
5/24/21,6,CONTROL,ML,Mason,Lashley,Brown-Headed Cowbird,Frugivore,U,11
5/25/21,7,BURN,CM,Cantarero,Marcelletti,Brown-Headed Cowbird,Frugivore,U,1
5/25/21,9,CONTROL,ML,Mason,Lashley,Brown-Headed Cowbird,Frugivore,F,2
5/25/21,9,CONTROL,ML,Mason,Lashley,Brown-Headed Cowbird,Frugivore,U,1
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Brown-Headed Cowbird,Frugivore,F,1
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Brown-Headed Cowbird,Frugivore,M,1
5/28/21,7,BURN,WR,Wilkin,Ribas,Carolina Chickadee,Frugivore,U,2
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Downy Woodpecker,Frugivore,U,1
5/22/21,4,BURN,BS,Bowden,Szlabowicz,Downy Woodpecker,Frugivore,U,1
5/19/21,3,CONTROL,CM,Cantarero,Marcelletti,Downy Woodpecker ,Frugivore,U,2
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Downy Woodpecker ,Frugivore,U,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Eastern Bluebird,Frugivore,U,5
5/18/21,2,BURN,CM,Cantarero,Marcelletti,Eastern Bluebird,Frugivore,U,2
5/19/21,1,CONTROL,PT,Tolar,Pinkley,Eastern Bluebird,Frugivore,U,2
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Eastern Bluebird,Frugivore,M,1
5/22/21,4,BURN,BS,Bowden,Szlabowicz,Eastern Bluebird,Frugivore,U,1
5/22/21,6,BURN,WR,Wilkin,Ribas,Eastern Bluebird,Frugivore,M ,2
5/23/21,5,BURN,CM,Cantarero,Marcelletti,Eastern Bluebird,Frugivore,F,2
5/23/21,5,BURN,CM,Cantarero,Marcelletti,Eastern Bluebird,Frugivore,M,1
5/24/21,5,BURN,BS,Bowden,NONE,Eastern Bluebird,Frugivore,U,4
5/24/21,6,BURN,BW,Balmaceda,NONE,Eastern Bluebird,Frugivore,M,1
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Eastern Bluebird,Frugivore,U,1
5/25/21,8,BURN,PT,Tolar,Pinkley,Eastern Bluebird,Frugivore,F ,2
5/25/21,8,BURN,PT,Tolar,Pinkley,Eastern Bluebird,Frugivore,M ,3
5/26/21,8,BURN,BS,Szlabowicz,Bowden,Eastern Bluebird,Frugivore,U,1
5/28/21,9,BURN,PT,Tolar,Pinkley,Eastern Bluebird,Frugivore,U ,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Eastern Kingbird,Frugivore,U,2
5/18/21,3,BURN,PT,Tolar,Pinkley,Eastern Kingbird,Frugivore,U,1
5/18/21,3,CONTROL,ML,Mason,Lashley,Eastern Kingbird,Frugivore,U,10
5/19/21,2,BURN,WR,Wilkin,Ribas,Eastern Kingbird,Frugivore,U,2
5/19/21,3,BURN,ML,Mason,Lashley,Eastern Kingbird,Frugivore,U,1
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Eastern Kingbird,Frugivore,U,1
5/21/21,2,CONTROL,WR,Wilkin,Ribas,Eastern Kingbird,Frugivore,U ,3
5/21/21,3,CONTROL,ML,Mason,Lashley,Eastern Kingbird,Frugivore,U,2
5/22/21,6,BURN,WR,Wilkin,Ribas,Eastern Kingbird,Frugivore,U ,3
5/23/21,4,CONTROL,WR,Wilkin,Ribas,Eastern Kingbird,Frugivore,U ,2
