DATE,PAIR,TREATMENT,GROUP,OBSERVER 1,OBSERVER 2,SPECIES,SEX,COUNT
5/26/21,7,BURN,ML,Mason,Lashley,Brown Thrasher,U,1
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Brown Thrasher,U,1
5/21/21,2,BURN,PT,Pinkley,Tolar,Brown Thrasher,U ,1
5/23/21,4,BURN,PT,Pinkley,Tolar,Brown Thrasher,U ,1
5/24/21,2,CONTROL,CM,Cantarero,Marcelletti,Brown Thrasher ,U,
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Brown-Headed Cowbird,F,1
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Brown-Headed Cowbird,M,1
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Brown-Headed Cowbird,U,1
5/22/21,5,BURN,BW,Balmaceda,Walford,Brown-Headed Cowbird,U,5
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Brown-Headed Cowbird,U,9
5/23/21,2,BURN,CM,Cantarero,Marcelletti,Brown-Headed Cowbird,U,1
5/24/21,6,CONTROL,ML,Mason,Lashley,Brown-Headed Cowbird,U,11
5/18/21,3,CONTROL,CM,Cantarero,Marcelletti,Brown-Headed Cowbird,U ,2
5/19/21,2,BURN,WR,Wilkin,Ribas,Brown-Headed Cowbird,U ,1
5/22/21,6,BURN,WR,Wilkin,Ribas,Brown-Headed Cowbird,U ,6
5/28/21,7,BURN,WR,Wilkin,Ribas,Carolina Chickadee,U,2
5/19/21,1,BURN,BW,Balmaceda,Walford,Carolina Wren,U,2
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Carolina Wren,U,2
5/28/21,7,CONTROL,BW,Balmaceda,Walford,Carolina Wren,U,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Chimney Swift,U,1
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Chimney Swift,U,2
5/24/21,5,BURN,BS,Bowden,NONE,Chimney Swift,U,1
5/25/21,8,CONTROL,BW,Balmaceda,Walford,Cliff Swallow,U ,1
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Common Yellowthroat,M,1
5/21/21,3,CONTROL,ML,Mason,Lashley,Common Yellowthroat,M,11
5/22/21,6,CONTROL,ML,Mason,NONE,Common Yellowthroat,M,2
5/21/21,3,CONTROL,ML,Mason,Lashley,Common Yellowthroat,U,1
5/24/21,2,CONTROL,CM,Cantarero,Marcelletti,Common Yellowthroat,U,3
5/25/21,9,CONTROL,ML,Mason,Lashley,Cowbird,F,2
5/25/21,9,CONTROL,ML,Mason,Lashley,Cowbird,U,1
5/21/21,2,BURN,PT,Pinkley,Tolar,Cowbird,U ,1
5/23/21,4,CONTROL,WR,Wilkin,Ribas,Cowbird ,U ,8
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Downy Woodpecker,U,1
5/22/21,4,BURN,BS,Bowden,Szlabowicz,Downy Woodpecker,U,1
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Downy Woodpecker ,U,1
5/18/21,3,CONTROL,CM,Cantarero,Marcelletti,Downy Woodpecker ,U ,2
5/23/21,2,BURN,CM,Cantarero,Marcelletti,Eastern Bluebird,F,2
5/25/21,8,BURN,PT,Tolar,Pinkley,Eastern Bluebird,F ,2
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Eastern Bluebird,M,1
5/23/21,2,BURN,CM,Cantarero,Marcelletti,Eastern Bluebird,M,1
5/24/21,6,BURN,BW,Balmaceda,NONE,Eastern Bluebird,M,1
5/22/21,6,BURN,WR,Wilkin,Ribas,Eastern Bluebird,M ,2
5/25/21,8,BURN,PT,Tolar,Pinkley,Eastern Bluebird,M ,3
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Eastern Bluebird,U,5
5/18/21,2,BURN,CM,Cantarero,Marcelletti,Eastern Bluebird,U,2
5/19/21,1,CONTROL,PT,Tolar,Pinkley,Eastern Bluebird,U,2
5/22/21,4,BURN,BS,Bowden,Szlabowicz,Eastern Bluebird,U,1
5/24/21,5,BURN,BS,Bowden,NONE,Eastern Bluebird,U,4
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Eastern Bluebird,U,1
5/26/21,8,BURN,BS,Szlabowicz,Bowden,Eastern Bluebird,U,1
5/28/21,9,BURN,PT,Tolar,Pinkley,Eastern Bluebird,U ,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Eastern Kingbird,U,2
5/18/21,3,CONTROL,ML,Mason,Lashley,Eastern Kingbird,U,10
5/18/21,3,BURN,PT,Tolar,Pinkley,Eastern Kingbird,U,1
5/19/21,3,BURN,ML,Mason,Lashley,Eastern Kingbird,U,1
5/19/21,2,BURN,WR,Wilkin,Ribas,Eastern Kingbird,U,2
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Eastern Kingbird,U,1
5/21/21,3,CONTROL,ML,Mason,Lashley,Eastern Kingbird,U,2
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Eastern Kingbird,U,3
5/23/21,2,BURN,CM,Cantarero,Marcelletti,Eastern Kingbird,U,1
5/23/21,6,BURN,ML,Mason,Lashley,Eastern Kingbird,U,3
5/24/21,5,BURN,BS,Bowden,NONE,Eastern Kingbird,U,1
5/26/21,7,BURN,ML,Mason,Lashley,Eastern Kingbird,U,1
5/26/21,9,CONTROL,BW,NONE,Walford,Eastern Kingbird,U,2
5/21/21,2,CONTROL,WR,Wilkin,Ribas,Eastern Kingbird,U ,3
5/22/21,6,BURN,WR,Wilkin,Ribas,Eastern Kingbird,U ,3
5/23/21,4,CONTROL,WR,Wilkin,Ribas,Eastern Kingbird,U ,2
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Eastern Phoebe,U,1
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Eastern Phoebe,U,1
5/19/21,3,BURN,ML,Mason,Lashley,Eastern Towhee,F,5
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Eastern Towhee,F,1
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,F,1
5/21/21,3,CONTROL,ML,Mason,Lashley,Eastern Towhee,F,2
5/22/21,4,BURN,BS,Bowden,Szlabowicz,Eastern Towhee,F,1
5/22/21,1,CONTROL,CM,Cantarero,Marcelletti,Eastern Towhee,F,1
5/22/21,1,CONTROL,CM,Cantarero,Marcelletti,Eastern Towhee,F,1
5/22/21,6,CONTROL,ML,Mason,NONE,Eastern Towhee,F,2
5/23/21,5,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,F,1
5/23/21,2,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,F,1
5/23/21,6,BURN,ML,Mason,Lashley,Eastern Towhee,F,2
5/23/21,6,BURN,ML,Mason,Lashley,Eastern Towhee,F,2
5/24/21,6,BURN,BW,Balmaceda,NONE,Eastern Towhee,F,1
5/24/21,6,CONTROL,ML,Mason,Lashley,Eastern Towhee,F,3
5/25/21,8,CONTROL,BW,Balmaceda,Walford,Eastern Towhee,F,2
5/25/21,9,CONTROL,ML,Mason,Lashley,Eastern Towhee,F,2
5/26/21,8,BURN,BS,Szlabowicz,Bowden,Eastern Towhee,F,2
5/28/21,8,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,F,5
5/28/21,9,CONTROL,ML,Lashley,NONE,Eastern Towhee,F,2
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Eastern Towhee,F,1
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,F ,1
5/25/21,8,BURN,PT,Tolar,Pinkley,Eastern Towhee,F ,1
5/18/21,2,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,M,1
5/18/21,3,CONTROL,ML,Mason,Lashley,Eastern Towhee,M,1
5/19/21,1,BURN,BW,Balmaceda,Walford,Eastern Towhee,M,4
5/19/21,3,BURN,ML,Mason,Lashley,Eastern Towhee,M,8
5/19/21,1,CONTROL,PT,Tolar,Pinkley,Eastern Towhee,M,9
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Eastern Towhee,M,12
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Eastern Towhee,M,3
5/21/21,3,CONTROL,ML,Mason,Lashley,Eastern Towhee,M,3
5/22/21,5,BURN,BW,Balmaceda,Walford,Eastern Towhee,M,2
5/22/21,4,BURN,BS,Bowden,Szlabowicz,Eastern Towhee,M,1
5/22/21,6,CONTROL,ML,Mason,NONE,Eastern Towhee,M,5
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Eastern Towhee,M,2
5/23/21,5,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,M,4
5/23/21,2,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,M,2
5/23/21,2,CONTROL,CM,Cantarero,Marcelletti,Eastern Towhee,M,2
5/23/21,6,BURN,ML,Mason,Lashley,Eastern Towhee,M,1
5/23/21,4,BURN,PT,Pinkley,Tolar,Eastern Towhee,M,5
5/24/21,6,BURN,BW,Balmaceda,NONE,Eastern Towhee,M,4
5/24/21,5,BURN,BS,Bowden,NONE,Eastern Towhee,M,1
5/24/21,6,CONTROL,ML,Mason,Lashley,Eastern Towhee,M,5
5/24/21,4,CONTROL,PT,Pinkley,NONE,Eastern Towhee,M,6
5/25/21,8,CONTROL,BW,Balmaceda,Walford,Eastern Towhee,M,9
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,M,2
5/25/21,9,CONTROL,ML,Mason,Lashley,Eastern Towhee,M,5
5/26/21,9,CONTROL,CM,Marcelletti,Cantarero,Eastern Towhee,M,3
5/26/21,7,BURN,ML,Mason,Lashley,Eastern Towhee,M,3
5/26/21,9,CONTROL,BW,NONE,Walford,Eastern Towhee,M,3
5/26/21,7,CONTROL,PT,Tolar,Pinkley,Eastern Towhee,M,2
5/26/21,8,CONTROL,WR,Wilkin,Ribas,Eastern Towhee,M,1
5/28/21,8,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,M,3
5/28/21,9,CONTROL,ML,Lashley,NONE,Eastern Towhee,M,2
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Eastern Towhee,M,1
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,M ,1
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,M ,1
5/22/21,6,BURN,WR,Wilkin,Ribas,Eastern Towhee,M ,5
