"","TREATMENT","FUNCTIONAL","response","SE","df","asymp.LCL","asymp.UCL"
"1","BURN","Frugivore",18.6668288699766,3.15446956064498,Inf,13.4037933390156,25.9964094676636
"2","CONTROL","Frugivore",20.0997721687177,3.39764303992226,Inf,14.4312841001702,27.9947950875415
"3","BURN","Other",3.69294524066041,0.709023579617406,Inf,2.53482055962812,5.38020117389183
"4","CONTROL","Other",2.42525342926016,0.495155516913652,Inf,1.62543752999584,3.61862826937017
