"TREATMENT","prob","SE","df","asymp.LCL","asymp.UCL"
"CONTROL",0.0180722891566369,0.0103393221275145,Inf,0.0045414218487772,0.0691183138943709
"FIRE",0.149717514124294,0.0189634036263775,Inf,0.109736598813399,0.20097651705689
