"","Site","Treatment","Trap","Date","Time","Species","Age","Sex","Week","Functional"
"60",8,"B","A",2020-05-29,"12:02","Eastern bluebird","Juvenile","Unknown",2020-05-31,"Frugivore"
"61",8,"B","A",2020-05-29,"17:46","Eastern bluebird","Juvenile","Unknown",2020-05-31,"Frugivore"
"62",8,"B","A",2020-05-29,"19:29","Eastern bluebird","Juvenile","Unknown",2020-05-31,"Frugivore"
"63",8,"B","A",2020-05-30,"8:35","Eastern bluebird","Juvenile","Unknown",2020-05-31,"Frugivore"
"64",8,"B","A",2020-05-30,"8:41","Eastern bluebird","Juvenile","Unknown",2020-05-31,"Frugivore"
"65",8,"B","A",2020-05-30,"13:09","Eastern bluebird","Juvenile","Unknown",2020-05-31,"Frugivore"
"66",8,"B","A",2020-05-30,"16:11","Eastern bluebird","Juvenile","Unknown",2020-05-31,"Frugivore"
"67",8,"B","A",2020-05-30,"17:33","Eastern bluebird","Juvenile","Unknown",2020-05-31,"Frugivore"
"68",16,"B","A",2020-05-21,"13:19","Eastern bluebird","Juvenile","Unknown",2020-05-24,"Frugivore"
"69",16,"B","A",2020-05-21,"14:35","Eastern bluebird","Juvenile","Unknown",2020-05-24,"Frugivore"
"70",16,"B","A",2020-05-22,"11:39","Eastern bluebird","Juvenile","Unknown",2020-05-24,"Frugivore"
"71",16,"B","B",2020-05-19,"8:06","Eastern bluebird","Adult","Male",2020-05-17,"Frugivore"
"72",16,"B","B",2020-05-26,"12:57","Eastern bluebird","Adult","Male",2020-05-24,"Frugivore"
"73",16,"C","A",2020-05-15,"14:22","Eastern bluebird",NA,NA,2020-05-17,"Frugivore"
"74",17,"B","B",2020-05-30,"13:28","Eastern bluebird","Adult","Female",2020-05-31,"Frugivore"
"75",17,"C","B",2020-05-18,"11:40","Eastern bluebird","Adult","Female",2020-05-17,"Frugivore"
"76",4,"B","C",2020-04-25,"10:54","Eastern kingbird","Adult","Unknown",2020-04-26,"Frugivore"
"77",8,"B","B",2020-05-04,"12:15","Eastern kingbird","Adult","Unknown",2020-05-03,"Frugivore"
"78",8,"C","C",2020-05-05,"16:39","Eastern kingbird","Adult","Unknown",2020-05-03,"Frugivore"
"79",8,"C","C",2020-05-06,"14:41","Eastern kingbird","Adult","Unknown",2020-05-03,"Frugivore"
"80",8,"C","C",2020-05-06,"16:29","Eastern kingbird","Adult","Unknown",2020-05-03,"Frugivore"
"81",8,"C","C",2020-05-07,"12:31","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"82",8,"C","C",2020-05-08,"12:00","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"83",8,"C","C",2020-05-08,"16:14","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"84",8,"C","C",2020-05-09,"11:49","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"85",8,"C","C",2020-05-09,"12:15","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"86",8,"C","C",2020-05-09,"16:21","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"87",8,"C","C",2020-05-09,"17:07","Eastern kingbird","Adult","Unknown",2020-05-10,"Frugivore"
"88",16,"B","B",2020-05-12,"6:18","Eastern kingbird","Adult","Male",2020-05-10,"Frugivore"
"89",4,"B","C",2020-05-14,"11:40","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"90",4,"B","C",2020-05-14,"11:40","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"91",4,"B","C",2020-05-15,"10:37","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
"92",4,"B","C",2020-05-15,"12:31","Eastern kingbird","Adult","Unknown",2020-05-17,"Frugivore"
