"","Treatment","Functional","rate","SE","df","lower.CL","upper.CL"
"1","Recent burn","Disperser",6.49530413128641,1.52331122040736,42,4.04624327067838,10.4267027303165
"2","One-year rough","Disperser",3.61537937354919,1.07224023928826,42,1.98710566515485,6.57789278340505
"3","Recent burn","Other",2.06602311457308,0.732895766145402,42,1.00978396864631,4.22709375716514
"4","One-year rough","Other",3.22795564023772,1.1616361890791,42,1.56143783490073,6.67314278061308
