"DATE","PAIR","GROUP","TREATMENT","FUNCTIONAL","COUNT"
2021-05-25,8,"PT","BURN","Frugivore",12
2021-05-25,8,"PT","BURN","Other",5
2021-05-25,8,"PT","BURN","Unknown",14
2021-05-25,9,"ML","CONTROL","Frugivore",30
2021-05-25,9,"ML","CONTROL","Other",0
2021-05-25,9,"ML","CONTROL","Unknown",14
2021-05-25,9,"WR","BURN","Frugivore",7
2021-05-25,9,"WR","BURN","Other",1
2021-05-25,9,"WR","BURN","Unknown",5
2021-05-26,7,"ML","BURN","Frugivore",22
2021-05-26,7,"ML","BURN","Other",0
2021-05-26,7,"ML","BURN","Unknown",10
2021-05-26,7,"PT","CONTROL","Frugivore",9
2021-05-26,7,"PT","CONTROL","Other",2
2021-05-26,7,"PT","CONTROL","Unknown",5
2021-05-26,8,"BS","BURN","Frugivore",19
2021-05-26,8,"BS","BURN","Other",1
2021-05-26,8,"BS","BURN","Unknown",16
2021-05-26,8,"WR","CONTROL","Frugivore",14
2021-05-26,8,"WR","CONTROL","Other",1
2021-05-26,8,"WR","CONTROL","Unknown",0
2021-05-26,9,"BW","BURN","Frugivore",21
2021-05-26,9,"BW","BURN","Other",5
2021-05-26,9,"BW","BURN","Unknown",6
2021-05-26,9,"CM","CONTROL","Frugivore",13
2021-05-26,9,"CM","CONTROL","Other",5
2021-05-26,9,"CM","CONTROL","Unknown",15
2021-05-28,7,"BW","CONTROL","Frugivore",12
2021-05-28,7,"BW","CONTROL","Other",3
2021-05-28,7,"BW","CONTROL","Unknown",13
2021-05-28,7,"WR","BURN","Frugivore",5
2021-05-28,7,"WR","BURN","Other",4
2021-05-28,7,"WR","BURN","Unknown",0
2021-05-28,8,"BS","CONTROL","Frugivore",35
2021-05-28,8,"BS","CONTROL","Other",0
2021-05-28,8,"BS","CONTROL","Unknown",1
2021-05-28,8,"CM","BURN","Frugivore",17
2021-05-28,8,"CM","BURN","Other",0
2021-05-28,8,"CM","BURN","Unknown",9
2021-05-28,9,"ML","CONTROL","Frugivore",20
2021-05-28,9,"ML","CONTROL","Other",2
2021-05-28,9,"ML","CONTROL","Unknown",16
2021-05-28,9,"PT","BURN","Frugivore",11
2021-05-28,9,"PT","BURN","Other",3
2021-05-28,9,"PT","BURN","Unknown",22
